loss=116.4763, Monte Carlo price=8.8736, predicted=1.8840
loss=102.9138, Monte Carlo price=8.4362, predicted=2.1874
loss=101.6421, Monte Carlo price=8.6725, predicted=2.4068
loss=98.6963, Monte Carlo price=8.5760, predicted=2.5933
loss=100.1135, Monte Carlo price=9.0307, predicted=2.7563
loss=95.2431, Monte Carlo price=9.0796, predicted=2.9057
loss=86.9198, Monte Carlo price=8.5971, predicted=3.0473
loss=87.6842, Monte Carlo price=8.4722, predicted=3.1813
loss=89.3552, Monte Carlo price=8.8778, predicted=3.3156
loss=82.4195, Monte Carlo price=8.6925, predicted=3.4431
loss=83.4845, Monte Carlo price=9.0049, predicted=3.5729
loss=67.3897, Monte Carlo price=9.1113, predicted=4.9928
loss=68.6121, Monte Carlo price=9.0016, predicted=5.2738
loss=67.3049, Monte Carlo price=9.1689, predicted=5.4959
loss=61.6629, Monte Carlo price=9.0316, predicted=5.6973
loss=60.2088, Monte Carlo price=9.1233, predicted=5.8934
loss=59.9267, Monte Carlo price=8.8358, predicted=6.0768
loss=53.1163, Monte Carlo price=8.9084, predicted=6.2468
loss=53.7127, Monte Carlo price=8.8134, predicted=6.4117
loss=58.7622, Monte Carlo price=9.0556, predicted=6.5625
loss=49.9325, Monte Carlo price=8.9586, predicted=6.7232
loss=48.5911, Monte Carlo price=8.4700, predicted=6.8763
loss=49.4502, Monte Carlo price=9.1152, predicted=7.0245
loss=49.8479, Monte Carlo price=8.8754, predicted=7.1550
loss=46.3426, Monte Carlo price=9.1144, predicted=7.2903
loss=47.8931, Monte Carlo price=9.1981, predicted=7.4206
loss=45.4414, Monte Carlo price=9.1015, predicted=7.5428
loss=44.3685, Monte Carlo price=8.8002, predicted=7.6557
loss=43.8290, Monte Carlo price=8.8942, predicted=7.7614
loss=54.5568, Monte Carlo price=8.9216, predicted=7.8591
loss=43.0997, Monte Carlo price=9.1808, predicted=7.9623
loss=40.9255, Monte Carlo price=8.9321, predicted=8.0581
loss=45.9107, Monte Carlo price=9.1727, predicted=8.1456
loss=38.9087, Monte Carlo price=8.9637, predicted=8.2258
loss=46.7525, Monte Carlo price=9.0648, predicted=8.2895
loss=40.8954, Monte Carlo price=9.0932, predicted=8.3571
loss=39.2847, Monte Carlo price=8.8650, predicted=8.4270
loss=39.3266, Monte Carlo price=8.7940, predicted=8.4767
loss=43.9074, Monte Carlo price=9.0684, predicted=8.5292
loss=38.8067, Monte Carlo price=8.7890, predicted=8.5715
loss=37.5977, Monte Carlo price=8.5385, predicted=8.6224
loss=36.4280, Monte Carlo price=9.0279, predicted=8.6311
loss=36.5392, Monte Carlo price=8.4547, predicted=8.6780
loss=32.8605, Monte Carlo price=8.9928, predicted=8.7011
loss=37.6118, Monte Carlo price=9.4446, predicted=8.7151
